Company Name,Homepage URL,Career Page URL
Juego Studios (India),https://www.juegostudio.com,https://www.juegostudio.com/careers
99Games,https://www.99games.in,https://www.99games.in/careers
Mobzway Technologies LLP,https://www.mobzway.com,https://www.mobzway.com/careers
Appinventiv,https://www.appinventiv.com,https://www.appinventiv.com/careers
Games2win,https://www.games2win.com,
Hyperlink Infosystem,https://www.hyperlinkinfosystem.com,
Octro,https://www.octro.com,https://www.octro.com/career
HashCube,https://www.hashcube.com,
Nazara Technologies,https://www.nazara.com,https://www.nazara.com/career
StudioKrew,https://www.studiokrew.com,
Grepix Infotech,https://www.grepixit.com,
Abhiwan Technology,https://www.abhiwan.com,https://www.abhiwan.com/career
Virtual Infocom,https://www.virtualinfocom.com,
CreatioSoft,https://www.creatiosoft.com,
Ironcode Gaming,https://www.ironcode.com,
Moonfrog Labs,https://www.moonfroglabs.com,https://www.moonfroglabs.com/careers
Supersike Games,https://www.supersikegames.com,
HitBerry Games,https://www.hitberrygames.com,https://www.hitberrygames.com/jobs
Electronic Arts (EA),https://www.ea.com,
Epic Games,https://store.epicgames.com/en-US,https://store.epicgames.com/en-US/careers
Nintendo of America,https://www.nintendo.com/us/,
Take-Two Interactive,https://www.take2games.com,https://www.take2games.com/careers
Riot Games,https://www.riotgames.com/en,https://www.riotgames.com/en/work-with-us
Bungie,https://www.bungie.net,https://www.bungie.net/careers
Ubisoft San Francisco,https://www.ubisoft.com/en-us,
Bandai Namco Entertainment America,https://www.bandainamcoent.com,https://www.bandainamcoent.com/careers
Capcom USA,https://www.capcomusa.com,
Gearbox Software,https://www.gearboxsoftware.com,https://www.gearboxsoftware.com/careers
Crystal Dynamics,https://www.crystaldynamics.com,https://www.crystaldynamics.com/careers
Insomniac Games,https://insomniac.games,
Niantic,https://nianticlabs.com,https://nianticlabs.com/careers
Square Enix (North America),https://square-enix-games.com,https://square-enix-games.com/careers
Warner Bros. Games,https://www.warnerbrosgames.com,https://www.warnerbrosgames.com/careers
Sega of America,https://www.sega.com,https://www.sega.com/careers
Roblox Corporation,https://www.roblox.com,
Iron Galaxy Studios,https://irongalaxystudios.com,https://irongalaxystudios.com/careers
Zynga,https://www.zynga.com,https://www.zynga.com/careers
HDFC Finance,https://www.hdfcbank.com,https://www.hdfcbank.com/careers
Bajaj Finance,https://www.bajajfinserv.in,
LIC Housing Finance,https://www.lichousing.com,https://www.lichousing.com/careers
Aditya Birla Capital,https://www.adityabirlacapital.com,https://www.adityabirlacapital.com/careers
Shriram Transport Finance,https://www.stfc.in,https://www.stfc.in/careers
Muthoot Finance,https://www.muthootfinance.com,https://www.muthootfinance.com/careers
Sundaram Finance,https://www.sundaramfinance.in,https://www.sundaramfinance.in/careers
Tata Capital Financial Services Ltd,https://www.tatacapital.com,https://www.tatacapital.com/careers
Mahindra & Mahindra Financial Services Ltd,https://www.mahindrafinance.com,https://www.mahindrafinance.com/careers
JPMorgan Chase & Co.,https://www.jpmorganchase.com,https://www.jpmorganchase.com/careers
Bank of America Corp.,https://www.bankofamerica.com,https://www.bankofamerica.com/careers
Citigroup Inc.,https://www.citigroup.com,https://www.citigroup.com/careers
Wells Fargo & Co.,https://www.wellsfargo.com,https://www.wellsfargo.com/careers
Goldman Sachs Group Inc.,https://www.goldmansachs.com,https://www.goldmansachs.com/careers
Morgan Stanley,https://www.morganstanley.com,
U.S. Bancorp,https://www.usbank.com,https://www.usbank.com/careers
PNC Financial Services Group Inc.,https://www.pnc.com,
American Express Company,https://www.americanexpress.com,https://www.americanexpress.com/careers
Sun Pharmaceutical Industries Ltd,https://www.sunpharma.com,https://www.sunpharma.com/careers
Dr. Reddy's Laboratories,https://www.drreddys.com,https://www.drreddys.com/careers
Cipla Ltd,https://www.cipla.com,https://www.cipla.com/careers
Apollo Hospitals,https://www.apollohospitals.com,https://www.apollohospitals.com/careers
Max Healthcare,https://www.maxhealthcare.in,
Fortis Healthcare,https://www.fortishealthcare.com,https://www.fortishealthcare.com/careers
Divi's Laboratories,https://www.divislabs.com,https://www.divislabs.com/careers
Torrent Pharmaceuticals Ltd,https://www.torrentpharma.com,
Mankind Pharma Ltd,https://www.mankindpharma.com,https://www.mankindpharma.com/careers
Lupin Ltd,https://www.lupin.com,https://www.lupin.com/career
CVS Health,https://www.cvshealth.com,https://www.cvshealth.com/careers
UnitedHealth Group,https://www.unitedhealthgroup.com,https://www.unitedhealthgroup.com/careers
Cencora Inc.,https://www.cencora.com,https://www.cencora.com/careers
McKesson Corp,https://www.mckesson.com,https://www.mckesson.com/careers
Cardinal Health Inc.,https://www.cardinalhealth.com,
The Cigna Group,https://www.cigna.com,https://www.cigna.com/careers
Elevance Health,https://www.elevancehealth.com,https://www.elevancehealth.com/careers
Centene Corp.,https://www.centene.com,
