name,profileUrl,website,founderName,linkedinUrl
Waterplan,https://www.ycombinator.com/companies/waterplan,http://waterplan.com,Jose Ignacio Galindo,https://www.linkedin.com/in/joseignaciosg/
Waterplan,https://www.ycombinator.com/companies/waterplan,http://waterplan.com,Nicolas Wertheimer,https://www.linkedin.com/in/nicolas-wertheimer/
Albiware Inc.,https://www.ycombinator.com/companies/albiware-inc,https://www.albiware.com,Alex Duta,https://www.linkedin.com/in/alex-duta-xct-9a883b4b/
Albiware Inc.,https://www.ycombinator.com/companies/albiware-inc,https://www.albiware.com,Shamoil Soni,https://www.linkedin.com/in/shamoilsoni/
Sitenna,https://www.ycombinator.com/companies/sitenna,http://www.sitenna.com,Daniel Campion,https://www.linkedin.com/in/danielcampion/
Sitenna,https://www.ycombinator.com/companies/sitenna,http://www.sitenna.com,Brian Sexton,https://www.linkedin.com/in/briansexton-ire/
Dimely,https://www.ycombinator.com/companies/dimely,https://dimely.com/,David Pang,https://linkedin.com/in/davidnpang
Dimely,https://www.ycombinator.com/companies/dimely,https://dimely.com/,Peter Sun,https://linkedin.com/in/p2sun
PropelAuth,https://www.ycombinator.com/companies/propelauth,https://www.propelauth.com,Andrew Israel,https://www.linkedin.com/in/andrew-israel-457751b8/
Sero,https://www.ycombinator.com/companies/sero,https://www.sero.so,Jai Thirani,https://www.linkedin.com/in/jai-thirani-a0381112b/
Sero,https://www.ycombinator.com/companies/sero,https://www.sero.so,Aditya Padwal,https://www.linkedin.com/in/aditya-padwal-a9b003169/
Xkit,https://www.ycombinator.com/companies/xkit,https://xkit.co,Trey Griffith,https://www.linkedin.com/in/treygriffith/
Tesseral,https://www.ycombinator.com/companies/tesseral,,,
Natero,https://www.ycombinator.com/companies/natero,http://natero.com,Garth Goodson,https://www.linkedin.com/in/garthgoodson/
Natero,https://www.ycombinator.com/companies/natero,http://natero.com,Craig Soules,https://www.linkedin.com/in/craigsoules
CustomerOS,https://www.ycombinator.com/companies/customeros,https://customeros.ai,Matt Brown,https://www.linkedin.com/in/mateocafe/
CustomerOS,https://www.ycombinator.com/companies/customeros,https://customeros.ai,Vasi Coscotin,https://www.linkedin.com/in/vasilica-coscotin-2755b153/
CustomerOS,https://www.ycombinator.com/companies/customeros,https://customeros.ai,Jonty Knox,https://www.linkedin.com/in/jontyknox/
Cleon,https://www.ycombinator.com/companies/cleon,,,
LedgerUp,https://www.ycombinator.com/companies/ledgerup,https://ledgerup.ai/,Joseph Johnson,https://linkedin.com/in/joseph-johnson-
LedgerUp,https://www.ycombinator.com/companies/ledgerup,https://ledgerup.ai/,Bailey Spell,https://linkedin.com/in/bailey-spell-b487ab149
SafetyKit,https://www.ycombinator.com/companies/safetykit,https://www.safetykit.com/,David Graunke,https://linkedin.com/in/david-graunke-46790429
SafetyKit,https://www.ycombinator.com/companies/safetykit,https://www.safetykit.com/,Steven Guichard,https://linkedin.com/in/stevenguichard
Alguna,https://www.ycombinator.com/companies/alguna,https://alguna.io,Aleks Đekić,https://linkedin.com/in/aleksdjekic
Alguna,https://www.ycombinator.com/companies/alguna,https://alguna.io,Jamie MacLeod,https://linkedin.com/in/jamie-macleod
BiggerPicture,https://www.ycombinator.com/companies/biggerpicture,http://biggerpicture.co,Guillaume Lo Re,https://www.linkedin.com/in/guillaume-lo-re-786891108/
Clupp,https://www.ycombinator.com/companies/clupp,http://clupp.com.mx/,Omar Said López Tronco,https://www.linkedin.com/in/omartronco/
Clupp,https://www.ycombinator.com/companies/clupp,http://clupp.com.mx/,Marisol Sánchez,https://www.linkedin.com/in/marisolsn
Payflow,https://www.ycombinator.com/companies/payflow,https://www.payflow.es/,Avinash Sukhwai,https://www.linkedin.com/in/avinash-sukhwani
Payflow,https://www.ycombinator.com/companies/payflow,https://www.payflow.es/,Benoit Menardo,https://www.linkedin.com/in/benoitmenardo/
June,https://www.ycombinator.com/companies/june,http://june.so,Enzo Avigo,https://www.linkedin.com/in/enzoa/
June,https://www.ycombinator.com/companies/june,http://june.so,Ferruccio Balestreri,https://www.linkedin.com/in/ferrucc-io/
Elemeno Health,https://www.ycombinator.com/companies/elemeno-health,http://elemenohealth.com,Arup Roy-Burman,https://www.linkedin.com/in/arup-roy-burman-7891736
Bento,https://www.ycombinator.com/companies/bento,http://trybento.co/,Emily Wang,https://www.linkedin.com/in/emilyyidanwang/
Bento,https://www.ycombinator.com/companies/bento,http://trybento.co/,Jason Hoch,https://www.linkedin.com/in/jason-hoch/
FuseAI,https://www.ycombinator.com/companies/fuseai,https://tryfuse.ai/,Saurav Bubber,https://linkedin.com/in/sauravbubber
FuseAI,https://www.ycombinator.com/companies/fuseai,https://tryfuse.ai/,Imogen Low,https://linkedin.com/in/imogen-low
Verbiflow,https://www.ycombinator.com/companies/verbiflow,,,
Metreecs,https://www.ycombinator.com/companies/metreecs,https://www.metreecs.com,Martin Dimitrov,https://www.linkedin.com/in/mardimitrov/
